Departamento,Capital,Pob2007,Pob2017,CodDepartamento
Amazonas,Chachapoyas,375993,379384,1
Áncash,Huaraz,1063459,1083519,2
Apurímac,Abancay,404190,405759,3
Arequipa,Arequipa,1152303,1382730,4
Ayacucho,Ayacucho,612489,616176,5
Cajamarca,Cajamarca,1387809,1341012,6
Callao,Callao,876877,994494,7
Cusco,Cuzco,1171403,1205527,8
Huancavelica,Huancavelica,454797,347639,9
Huánuco,Huánuco,762223,721047,10
Ica,Ica,711932,850765,11
Junín,Huancayo,1225474,1246038,12
La Libertad,Trujillo,1617050,1778080,13
Lambayeque,Chiclayo,1112868,1197260,14
Lima,Lima,8445211,9485405,15
Loreto,Iquitos,891732,883510,16
Madre de Dios,Puerto Maldonado,109555,141070,17
Moquegua,Moquegua,161533,174863,18
Pasco,Cerro de Pasco,280449,254065,19
Piura,Piura,1676315,1856809,20
Puno,Puno,1268441,1172697,21
San Martín,Moyobamba,728808,813381,22
Tacna,Tacna,288781,329332,23
Tumbes,Tumbes,200306,224863,24
Ucayali,Pucallpa,432159,496459,25